src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
255.255.255.255,0.0.0.0,68,67,17,2019-07-20 02:33:38,123.458979,236.78310185928234,0.7127873623513442,0.7127873623513442,0.0,88,0,29233,0,338,331,332.1931818181818,2.6322214716913654,0,0,0,0.0,338,331,332.1931818181818,2.6322214716913654,6.928589876033057,1760,0,20,88,1.4190687241379312,4.268635,0.0,1.169368852664967,123.458979,4.268635,0.0,1.4190687241379312,1.169368852664967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,332.1931818181818,0,0,0,0,0,0,0,0,0,0,1156.0,4.0,0,0,1011.635780489912630460869670,0,332.1931818181818,0,0,88,0,29233,0
192.168.3.31,192.168.3.29,34788,9200,6,2019-07-20 02:33:42,110.113088,187.47090264147346,0.23612088691945501,0.1271420160335527,0.10897887088590232,14,12,17802,2841,4162,66,1271.5714285714287,1265.0642961799956,457,66,236.75,171.46677277731294,4162,66,793.9615384615385,1068.3850314581289,1141446.575443787,280,240,20,8,4.40452352,35.015885,0.0,9.986135186020947,110.113088,35.015885,0.0,8.47023753846154,12.543414145646352,110.107071,35.016266,1.8e-05,10.009733727272728,13.059335846475335,8,6,0,0,0,0,0,14,26,0,0,0.8571428571428571,793.9615384615385,1444,6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271.5714285714287,236.75,0,14,12,17802,2841
239.2.11.71,192.168.3.10,53569,8662,17,2019-07-20 02:33:46,100.013801,24.89656402519888,0.2699627424419156,0.2699627424419156,0.0,27,0,2490,0,94,90,92.22222222222223,1.987615979999813,0,0,0,0.0,94,90,92.22222222222223,1.987615979999813,3.9506172839506166,540,0,20,27,3.846684653846154,18.64842,0.0,6.096838395461927,100.013801,18.64842,0.0,3.846684653846154,6.096838395461927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.22222222222223,0,0,0,0,0,0,0,0,0,0,262.6666666666667,5.333333333333333,0,0,12709677.41935483870967741935,0,92.22222222222223,0,0,27,0,2490,0
192.168.3.1,192.168.3.29,22,52206,6,2019-07-20 02:33:38,140.840304,8.27888017055118,0.07810264311840735,0.03550120141745789,0.04260144170094947,5,6,690,476,186,106,138.0,28.621670111997307,106,66,79.33333333333333,18.856180831641264,186,66,106.0,37.67806210033053,1419.6363636363637,100,120,20,5,14.0840304,138.978124,0.0,41.63506073610704,1.861937,1.861464,0.0,0.46548425,0.8059692941546766,140.84003,138.978124,0.000126,28.168006000000002,55.409744879652585,5,2,0,0,0,0,0,7,11,0,0,1.2,106.0,371,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0,79.33333333333333,0,5,6,690,476
255.255.255.255,0.0.0.0,68,67,17,2019-07-20 02:35:43,120.317722,248.29259982166218,0.7480194812863894,0.7480194812863894,0.0,90,0,29874,0,338,331,331.93333333333334,2.379542439676633,0,0,0,0.0,338,331,331.93333333333334,2.379542439676633,5.662222222222223,1800,0,20,90,1.3518845168539326,4.220997,0.0,1.1000527582440385,120.317722,4.220997,0.0,1.3518845168539326,1.1000527582440385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,331.93333333333334,0,0,0,0,0,0,0,0,0,0,1156.0,4.0,0,0,1026.200514786919139216616636,0,331.93333333333334,0,0,90,0,29874,0
239.2.11.71,192.168.3.10,53569,8662,17,2019-07-20 02:35:45,101.314413,24.774362557872195,0.2664971271165535,0.2664971271165535,0.0,27,0,2510,0,98,90,92.96296296296296,2.333039370077574,0,0,0,0.0,98,90,92.96296296296296,2.333039370077574,5.443072702331962,540,0,20,27,3.8967081923076923,20.021213,0.0,6.964473887772528,101.314413,20.021213,0.0,3.8967081923076923,6.964473887772528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.96296296296296,0,0,0,0,0,0,0,0,0,0,332.0,6.5,0,0,5985.756783557198233119985576,0,92.96296296296296,0,0,27,0,2510,0
192.168.3.31,192.168.3.29,34788,9200,6,2019-07-20 02:36:07,148.172094,377.1222940265662,0.33069654802880766,0.17547163772957142,0.15522491029923624,26,23,50750,5129,5760,66,1951.923076923077,1771.1692340432355,517,66,223.0,180.7862057069428,5760,66,1140.3877551020407,1557.0439787259695,2424385.9516867977,520,460,20,16,3.0869186250000005,35.013457,0.0,8.054526989853969,148.17209400000002,35.013457,0.0,5.926883760000001,10.37924077245745,113.158275,25.0176,4e-06,5.143557954545455,8.95342305023238,16,10,0,0,0,0,0,26,49,0,0,0.8846153846153846,1140.3877551020407,1444,6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951.923076923077,223.0,0,26,23,50750,5129
255.255.255.255,0.0.0.0,68,67,17,2019-07-20 02:37:45,120.339053,253.74971165844224,0.7645065978706015,0.7645065978706015,0.0,92,0,30536,0,338,331,331.9130434782609,2.357468123778428,0,0,0,0.0,338,331,331.9130434782609,2.357468123778428,5.557655954631381,1840,0,20,92,1.322407175824176,4.237544,0.0,1.0947983150337603,120.33905299999999,4.237544,0.0,1.322407175824176,1.0947983150337603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,331.9130434782609,0,0,0,0,0,0,0,0,0,0,1156.0,4.0,0,0,1013.674966349674019317698537,0,331.9130434782609,0,0,92,0,30536,0
239.2.11.71,192.168.3.10,53569,8662,17,2019-07-20 02:37:46,118.73952,31.29539347977826,0.33687183508910934,0.33687183508910934,0.0,40,0,3716,0,98,90,92.9,2.188606862823929,0,0,0,0.0,98,90,92.9,2.188606862823929,4.789999999999999,800,0,20,40,3.044603076923077,20.021267,0.0,6.060815191448391,118.73952,20.021267,0.0,3.044603076923077,6.060815191448391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.9,0,0,0,0,0,0,0,0,0,0,401.3333333333333,8.0,0,0,6104.764657266140358883091729,0,92.9,0,0,40,0,3716,0
192.168.3.1,192.168.3.29,22,52206,6,2019-07-20 02:35:59,14.226021,1441.5837007410576,11.387583358691796,5.2017356082913135,6.185847750400481,74,88,14100,6408,1082,106,190.54054054054055,161.859898476562,106,66,72.81818181818181,15.04126555252209,1082,66,126.5925925925926,124.61513866555897,15528.93278463649,1480,1760,20,74,0.08836037888198758,10.49916,0.0,0.8278313741269451,14.225754,10.499787,0.0,0.19487334246575344,1.2210245456175202,14.225774,10.49916,2e-06,0.1635146436781609,1.120678126239049,74,15,0,0,0,0,0,89,162,0,0,1.1891891891891893,126.5925925925926,371,1444,0,0,0,0,0,0,0,0,4284.0,29.5,0,0,116371.9338277239018824871649,0,190.54054054054055,72.81818181818181,0,74,88,14100,6408
